customer_id,customer_name,city,last_booking_date,recency,frequency,monetary,gender,age,R_score,F_score,M_score,RFM_score,RFM_code,segment
CUST00046,Customer 46,Vellore,2026-06-05,208,3,3270.99,Other,29,3,2,2,7,322,Need Attention
CUST00047,Customer 47,Hyderabad,2026-06-27,186,3,9877.28,Other,37,3,2,4,9,324,Big Spenders
CUST00048,Customer 48,Madurai,2025-05-31,578,2,2594.33,Other,30,1,1,1,3,111,Lost Customers
CUST00049,Customer 49,Vellore,2026-03-30,275,3,2693.41,Male,52,2,2,1,5,221,Need Attention
CUST00050,Customer 50,Erode,2026-08-22,130,4,8961.939999999999,Other,38,4,3,4,11,434,Big Spenders
CUST00051,Customer 51,Salem,2025-03-26,644,1,4161.24,Male,41,1,1,2,4,112,Lost Customers
CUST00052,Customer 52,Bengaluru,2025-10-16,440,1,1583.35,Male,33,1,1,1,3,111,Lost Customers
CUST00053,Customer 53,Erode,2026-03-22,283,8,21162.95,Male,64,2,5,5,12,255,At Risk
CUST00054,Customer 54,Madurai,2025-09-26,460,4,10551.08,Male,52,1,3,4,8,134,At Risk
CUST00055,Customer 55,Vellore,2026-10-08,83,4,14653.279999999999,Other,48,5,3,5,13,535,Big Spenders
CUST00056,Customer 56,Bengaluru,2026-08-16,136,4,6678.88,Female,51,4,3,3,10,433,Potential Loyalists
CUST00057,Customer 57,Pondicherry,2026-10-05,86,4,8593.7,Male,52,5,3,4,12,534,Big Spenders
CUST00058,Customer 58,Salem,2025-12-11,384,4,10691.79,Male,63,1,3,4,8,134,At Risk
CUST00059,Customer 59,Thanjavur,2026-01-29,335,5,5873.429999999999,Other,59,2,4,3,9,243,At Risk
CUST00061,Customer 61,Thanjavur,2026-08-03,149,7,17702.28,Male,22,4,5,5,14,455,Champions
CUST00062,Customer 62,Trichy,2026-05-03,241,3,5139.360000000001,Other,53,3,2,2,7,322,Need Attention
CUST00063,Customer 63,Coimbatore,2026-07-12,171,2,2121.83,Male,18,3,1,1,5,311,Need Attention
CUST00065,Customer 65,Coimbatore,2026-12-27,3,4,8234.52,Male,39,5,3,4,12,534,Big Spenders
CUST00066,Customer 66,Hyderabad,2026-06-11,202,5,9635.8,Male,35,3,4,4,11,344,Loyal Customers
CUST00067,Customer 67,Madurai,2026-08-18,134,5,12179.73,Male,52,4,4,5,13,445,Champions
CUST00068,Customer 68,Erode,2026-05-15,229,4,9733.25,Other,54,3,3,4,10,334,Big Spenders
CUST00069,Customer 69,Trichy,2026-10-09,82,2,5766.77,Female,44,5,1,3,9,513,New Customers
CUST00070,Customer 70,Tirunelveli,2026-07-18,165,2,4566.969999999999,Male,60,3,1,2,6,312,Need Attention
CUST00071,Customer 71,Erode,2026-05-13,231,4,6903.3099999999995,Female,44,3,3,3,9,333,Need Attention
CUST00072,Customer 72,Hyderabad,2026-03-31,274,4,13720.36,Other,21,2,3,5,10,235,At Risk
CUST00073,Customer 73,Chennai,2026-09-02,119,4,8005.5599999999995,Other,24,4,3,4,11,434,Big Spenders
CUST00074,Customer 74,Coimbatore,2026-10-12,79,2,3189.2599999999998,Other,39,5,1,1,7,511,New Customers
CUST00075,Customer 75,Vellore,2025-06-11,567,3,10738.970000000001,Male,30,1,2,4,7,124,Lost Customers
CUST00076,Customer 76,Madurai,2026-09-08,113,5,11142.1,Male,45,4,4,5,13,445,Champions
CUST00077,Customer 77,Coimbatore,2025-03-31,639,3,8156.19,Female,33,1,2,4,7,124,Lost Customers
CUST00078,Customer 78,Chennai,2026-09-14,107,4,6291.6,Other,24,4,3,3,10,433,Potential Loyalists
CUST00079,Customer 79,Coimbatore,2026-04-01,273,3,4681.16,Other,18,2,2,2,6,222,Need Attention
CUST00080,Customer 80,Tirunelveli,2026-02-26,307,1,1749.44,Male,28,2,1,1,4,211,Need Attention
CUST00081,Customer 81,Tirunelveli,2026-11-02,58,2,1223.42,Female,31,5,1,1,7,511,New Customers
CUST00082,Customer 82,Chennai,2025-05-28,581,2,12302.8,Male,42,1,1,5,7,115,Lost Customers
CUST00083,Customer 83,Salem,2026-09-14,107,5,22506.95,Female,47,4,4,5,13,445,Champions
CUST00084,Customer 84,Vellore,2025-06-18,560,2,5795.46,Other,64,1,1,3,5,113,Lost Customers
CUST00085,Customer 85,Madurai,2026-07-11,172,4,11424.29,Other,49,3,3,5,11,335,Big Spenders
CUST00086,Customer 86,Chennai,2026-02-07,326,2,3461.0699999999997,Female,31,2,1,2,5,212,Need Attention
CUST00087,Customer 87,Chennai,2026-09-29,92,4,10446.81,Other,52,5,3,4,12,534,Big Spenders
CUST00088,Customer 88,Chennai,2026-07-13,170,3,17259.61,Female,21,3,2,5,10,325,Big Spenders
CUST00089,Customer 89,Vellore,2025-08-28,489,2,6782.610000000001,Female,50,1,1,3,5,113,Lost Customers
CUST00090,Customer 90,Coimbatore,2025-08-27,490,2,2962.34,Male,50,1,1,1,3,111,Lost Customers
CUST00091,Customer 91,Bengaluru,2026-09-22,99,5,7224.07,Male,22,4,4,3,11,443,Loyal Customers
CUST00092,Customer 92,Tirunelveli,2026-02-26,307,2,1197.98,Other,33,2,1,1,4,211,Need Attention
CUST00093,Customer 93,Bengaluru,2026-07-30,153,3,5367.42,Other,33,4,2,2,8,422,Potential Loyalists
CUST00095,Customer 95,Bengaluru,2025-05-04,605,2,11300.28,Other,55,1,1,5,7,115,Lost Customers
CUST00096,Customer 96,Trichy,2026-08-09,143,1,1338.7,Female,34,4,1,1,6,411,New Customers
CUST00097,Customer 97,Trichy,2025-09-18,468,4,7841.53,Other,38,1,3,4,8,134,At Risk
CUST00098,Customer 98,Hyderabad,2026-03-10,295,3,6478.58,Female,26,2,2,3,7,223,Need Attention
CUST00099,Customer 99,Thanjavur,2026-01-13,351,1,1264.54,Female,47,2,1,1,4,211,Need Attention
CUST00100,Customer 100,Erode,2025-12-12,383,3,8287.82,Male,18,2,2,4,8,224,Need Attention
CUST00101,Customer 101,Coimbatore,2025-12-02,393,2,3488.88,Other,24,1,1,2,4,112,Lost Customers
CUST00102,Customer 102,Salem,2026-08-29,123,4,9288.47,Male,50,4,3,4,11,434,Big Spenders
CUST00103,Customer 103,Trichy,2026-04-22,252,3,5010.75,Female,22,2,2,2,6,222,Need Attention
CUST00104,Customer 104,Erode,2026-11-04,56,2,6384.17,Female,28,5,1,3,9,513,New Customers
CUST00105,Customer 105,Salem,2026-10-19,72,5,6125.639999999999,Other,63,5,4,3,12,543,Loyal Customers
CUST00106,Customer 106,Chennai,2025-09-20,466,5,12883.93,Other,51,1,4,5,10,145,At Risk
CUST00107,Customer 107,Hyderabad,2026-12-20,10,3,7113.94,Other,37,5,2,3,10,523,Potential Loyalists
CUST00108,Customer 108,Coimbatore,2026-09-11,110,4,6969.58,Male,34,4,3,3,10,433,Potential Loyalists
CUST00110,Customer 110,Trichy,2026-07-12,171,2,2946.87,Female,56,3,1,1,5,311,Need Attention
CUST00111,Customer 111,Hyderabad,2025-10-11,445,4,4313.42,Female,31,1,3,2,6,132,At Risk
CUST00112,Customer 112,Erode,2026-11-03,57,4,11693.48,Female,50,5,3,5,13,535,Big Spenders
CUST00113,Customer 113,Hyderabad,2025-12-20,375,4,7247.74,Male,23,2,3,3,8,233,At Risk
CUST00114,Customer 114,Chennai,2025-12-19,376,3,7138.46,Female,20,2,2,3,7,223,Need Attention
CUST00115,Customer 115,Salem,2024-11-14,776,1,866.53,Male,58,1,1,1,3,111,Lost Customers
CUST00116,Customer 116,Vellore,2026-05-29,215,2,4846.0,Other,46,3,1,2,6,312,Need Attention
CUST00117,Customer 117,Chennai,2026-01-31,333,5,7312.27,Female,53,2,4,3,9,243,At Risk
CUST00118,Customer 118,Madurai,2026-09-14,107,5,11568.91,Male,62,4,4,5,13,445,Champions
CUST00119,Customer 119,Bengaluru,2026-10-18,73,6,18834.23,Male,41,5,5,5,15,555,Champions
CUST00120,Customer 120,Madurai,2026-09-01,120,3,10055.08,Male,45,4,2,4,10,424,Big Spenders
CUST00121,Customer 121,Chennai,2025-02-26,672,1,2531.72,Female,41,1,1,1,3,111,Lost Customers
CUST00122,Customer 122,Trichy,2026-09-22,99,3,7851.59,Male,61,4,2,4,10,424,Big Spenders
CUST00123,Customer 123,Vellore,2026-09-10,111,4,11215.35,Male,40,4,3,5,12,435,Big Spenders
CUST00124,Customer 124,Pondicherry,2026-08-18,134,3,6385.26,Female,57,4,2,3,9,423,Potential Loyalists
CUST00125,Customer 125,Madurai,2025-06-11,567,2,1020.27,Male,28,1,1,1,3,111,Lost Customers
CUST00126,Customer 126,Pondicherry,2026-10-05,86,4,10320.67,Male,29,5,3,4,12,534,Big Spenders
CUST00127,Customer 127,Pondicherry,2026-09-23,98,6,11993.48,Female,60,4,5,5,14,455,Champions
CUST00128,Customer 128,Madurai,2026-11-08,52,2,2709.82,Male,35,5,1,1,7,511,New Customers
CUST00129,Customer 129,Tirunelveli,2026-11-02,58,6,17455.9,Other,24,5,5,5,15,555,Champions
CUST00130,Customer 130,Trichy,2026-05-31,213,3,6941.0599999999995,Male,48,3,2,3,8,323,Need Attention
CUST00132,Customer 132,Chennai,2026-09-18,103,1,1441.87,Male,32,4,1,1,6,411,New Customers
CUST00133,Customer 133,Thanjavur,2026-05-19,225,1,786.83,Male,43,3,1,1,5,311,Need Attention
CUST00134,Customer 134,Thanjavur,2025-12-17,378,5,14819.45,Male,35,2,4,5,11,245,At Risk
CUST00135,Customer 135,Hyderabad,2026-08-01,151,5,7957.48,Other,43,4,4,4,12,444,Champions
CUST00136,Customer 136,Chennai,2025-09-24,462,2,2721.0,Other,39,1,1,1,3,111,Lost Customers
CUST00137,Customer 137,Bengaluru,2026-07-12,171,2,1250.73,Female,29,3,1,1,5,311,Need Attention
CUST00138,Customer 138,Bengaluru,2025-09-27,459,1,447.25,Male,24,1,1,1,3,111,Lost Customers
CUST00139,Customer 139,Thanjavur,2026-03-17,288,6,9863.48,Female,64,2,5,4,11,254,At Risk
CUST00140,Customer 140,Coimbatore,2025-10-12,444,5,13535.279999999999,Other,50,1,4,5,10,145,At Risk
CUST00141,Customer 141,Salem,2025-10-06,450,2,3683.58,Other,30,1,1,2,4,112,Lost Customers
CUST00142,Customer 142,Chennai,2026-02-26,307,4,8973.15,Other,45,2,3,4,9,234,At Risk
CUST00143,Customer 143,Pondicherry,2026-01-13,351,2,3491.1099999999997,Other,61,2,1,2,5,212,Need Attention
CUST00144,Customer 144,Trichy,2026-09-10,111,6,10296.720000000001,Other,60,4,5,4,13,454,Champions
CUST00145,Customer 145,Hyderabad,2026-04-04,270,2,2131.32,Female,22,2,1,1,4,211,Need Attention
CUST00146,Customer 146,Hyderabad,2026-12-26,4,5,10562.58,Other,38,5,4,4,13,544,Champions
CUST00147,Customer 147,Salem,2026-02-23,310,4,11086.07,Male,64,2,3,5,10,235,At Risk
CUST00148,Customer 148,Tirunelveli,2026-06-06,207,3,3849.2100000000005,Female,60,3,2,2,7,322,Need Attention
CUST00149,Customer 149,Salem,2025-11-24,401,3,2313.25,Female,62,1,2,1,4,121,Lost Customers
CUST00150,Customer 150,Tirunelveli,2026-08-23,129,6,5396.46,Male,30,4,5,2,11,452,Loyal Customers
CUST00152,Customer 152,Salem,2026-11-21,39,4,7005.41,Other,54,5,3,3,11,533,Potential Loyalists
CUST00153,Customer 153,Salem,2026-03-10,295,5,9755.1,Other,18,2,4,4,10,244,At Risk
CUST00154,Customer 154,Bengaluru,2026-11-02,58,6,18664.28,Male,45,5,5,5,15,555,Champions
CUST00155,Customer 155,Erode,2025-08-01,516,1,2564.64,Other,38,1,1,1,3,111,Lost Customers
CUST00156,Customer 156,Trichy,2026-10-24,67,1,2121.6,Female,61,5,1,1,7,511,New Customers
CUST00157,Customer 157,Madurai,2026-04-25,249,2,4216.63,Female,65,2,1,2,5,212,Need Attention
CUST00158,Customer 158,Vellore,2026-12-01,29,1,2023.9,Male,36,5,1,1,7,511,New Customers
CUST00159,Customer 159,Thanjavur,2025-12-28,367,1,2277.42,Other,57,2,1,1,4,211,Need Attention
CUST00160,Customer 160,Salem,2026-07-27,156,3,7912.39,Male,61,3,2,4,9,324,Big Spenders
CUST00161,Customer 161,Chennai,2025-12-02,393,1,728.4,Male,27,1,1,1,3,111,Lost Customers
CUST00162,Customer 162,Bengaluru,2026-05-04,240,5,9963.029999999999,Male,48,3,4,4,11,344,Loyal Customers
CUST00163,Customer 163,Tirunelveli,2026-07-26,157,4,9133.98,Male,47,3,3,4,10,334,Big Spenders
CUST00165,Customer 165,Tirunelveli,2026-01-13,351,3,5065.9400000000005,Female,49,2,2,2,6,222,Need Attention
CUST00166,Customer 166,Pondicherry,2025-12-09,386,3,3414.75,Male,59,1,2,2,5,122,Lost Customers
CUST00167,Customer 167,Trichy,2025-09-12,474,3,10961.85,Male,45,1,2,5,8,125,Lost Customers
CUST00168,Customer 168,Erode,2026-12-19,11,4,12630.69,Other,51,5,3,5,13,535,Big Spenders
CUST00169,Customer 169,Coimbatore,2026-10-04,87,4,5575.21,Other,33,5,3,3,11,533,Potential Loyalists
CUST00170,Customer 170,Hyderabad,2026-01-10,354,3,4141.99,Male,47,2,2,2,6,222,Need Attention
CUST00171,Customer 171,Thanjavur,2026-04-02,272,5,10369.91,Other,56,2,4,4,10,244,At Risk
CUST00172,Customer 172,Pondicherry,2025-05-08,601,2,9458.939999999999,Female,57,1,1,4,6,114,Lost Customers
CUST00173,Customer 173,Erode,2026-05-25,219,4,9173.18,Female,53,3,3,4,10,334,Big Spenders
CUST00174,Customer 174,Erode,2026-10-01,90,4,7859.46,Other,48,5,3,4,12,534,Big Spenders
CUST00175,Customer 175,Salem,2026-08-05,147,4,9713.17,Male,58,4,3,4,11,434,Big Spenders
CUST00176,Customer 176,Hyderabad,2025-09-27,459,1,2583.51,Other,49,1,1,1,3,111,Lost Customers
CUST00177,Customer 177,Coimbatore,2026-08-04,148,1,1284.61,Female,46,4,1,1,6,411,New Customers
CUST00178,Customer 178,Salem,2026-07-14,169,2,2469.45,Female,33,3,1,1,5,311,Need Attention
CUST00179,Customer 179,Coimbatore,2026-05-28,216,2,1611.53,Female,52,3,1,1,5,311,Need Attention
CUST00180,Customer 180,Tirunelveli,2026-01-13,351,6,18924.510000000002,Male,32,2,5,5,12,255,At Risk
CUST00181,Customer 181,Trichy,2026-11-11,49,6,16510.26,Male,63,5,5,5,15,555,Champions
CUST00182,Customer 182,Thanjavur,2025-09-10,476,1,442.01,Female,44,1,1,1,3,111,Lost Customers
CUST00183,Customer 183,Chennai,2026-08-20,132,4,7695.91,Female,44,4,3,3,10,433,Potential Loyalists
CUST00184,Customer 184,Bengaluru,2026-07-25,158,4,3715.4700000000003,Female,42,3,3,2,8,332,Need Attention
CUST00185,Customer 185,Tirunelveli,2026-09-22,99,3,7072.540000000001,Male,54,4,2,3,9,423,Potential Loyalists
CUST00186,Customer 186,Salem,2025-08-21,496,2,3939.76,Male,40,1,1,2,4,112,Lost Customers
CUST00187,Customer 187,Vellore,2025-10-17,439,3,8162.34,Female,44,1,2,4,7,124,Lost Customers
CUST00188,Customer 188,Bengaluru,2026-10-17,74,4,6144.91,Other,52,5,3,3,11,533,Potential Loyalists
CUST00189,Customer 189,Salem,2026-09-23,98,2,3520.3599999999997,Female,32,4,1,2,7,412,New Customers
CUST00190,Customer 190,Tirunelveli,2026-09-16,105,6,12577.75,Female,19,4,5,5,14,455,Champions
CUST00191,Customer 191,Tirunelveli,2026-04-21,253,5,13517.26,Other,61,2,4,5,11,245,At Risk
CUST00192,Customer 192,Madurai,2026-08-25,127,5,13283.23,Male,47,4,4,5,13,445,Champions
CUST00193,Customer 193,Tirunelveli,2025-12-16,379,5,10527.66,Other,19,2,4,4,10,244,At Risk
CUST00194,Customer 194,Chennai,2025-03-07,663,2,2910.25,Other,60,1,1,1,3,111,Lost Customers
CUST00196,Customer 196,Chennai,2026-09-18,103,2,4263.73,Female,29,4,1,2,7,412,New Customers
CUST00197,Customer 197,Trichy,2026-03-11,294,1,1968.65,Female,38,2,1,1,4,211,Need Attention
CUST00198,Customer 198,Tirunelveli,2026-06-06,207,4,15284.68,Female,39,3,3,5,11,335,Big Spenders
CUST00199,Customer 199,Coimbatore,2026-05-28,216,2,3899.06,Female,34,3,1,2,6,312,Need Attention
CUST00200,Customer 200,Vellore,2026-08-15,137,5,10316.93,Male,65,4,4,4,12,444,Champions
CUST00201,Customer 201,Hyderabad,2026-04-10,264,4,5326.26,Female,32,2,3,2,7,232,At Risk
CUST00202,Customer 202,Chennai,2026-07-30,153,5,8722.05,Other,20,4,4,4,12,444,Champions
CUST00203,Customer 203,Bengaluru,2026-02-22,311,1,901.7,Male,19,2,1,1,4,211,Need Attention
CUST00204,Customer 204,Erode,2026-09-01,120,4,8520.95,Male,26,4,3,4,11,434,Big Spenders
CUST00205,Customer 205,Trichy,2026-07-17,166,4,13477.099999999999,Male,54,3,3,5,11,335,Big Spenders
CUST00206,Customer 206,Thanjavur,2026-10-07,84,9,11649.69,Other,34,5,5,5,15,555,Champions
CUST00207,Customer 207,Pondicherry,2025-05-15,594,3,4550.37,Other,56,1,2,2,5,122,Lost Customers
CUST00208,Customer 208,Salem,2026-09-04,117,3,8943.17,Male,28,4,2,4,10,424,Big Spenders
CUST00209,Customer 209,Salem,2026-09-09,112,6,8585.57,Other,19,4,5,4,13,454,Champions
CUST00210,Customer 210,Tirunelveli,2025-05-09,600,1,4983.75,Other,42,1,1,2,4,112,Lost Customers
CUST00211,Customer 211,Bengaluru,2025-12-14,381,1,5823.84,Male,22,2,1,3,6,213,Need Attention
CUST00212,Customer 212,Coimbatore,2026-04-25,249,6,17577.61,Other,33,2,5,5,12,255,At Risk
CUST00213,Customer 213,Bengaluru,2025-12-18,377,1,5793.09,Female,61,2,1,3,6,213,Need Attention
CUST00214,Customer 214,Chennai,2025-11-24,401,3,3977.2,Male,54,1,2,2,5,122,Lost Customers
CUST00215,Customer 215,Hyderabad,2026-07-08,175,3,5213.26,Other,45,3,2,2,7,322,Need Attention
CUST00217,Customer 217,Erode,2026-10-04,87,6,10030.77,Male,44,5,5,4,14,554,Champions
CUST00218,Customer 218,Hyderabad,2026-09-05,116,5,10026.02,Female,41,4,4,4,12,444,Champions
CUST00219,Customer 219,Madurai,2025-08-01,516,1,4242.18,Female,63,1,1,2,4,112,Lost Customers
CUST00220,Customer 220,Vellore,2026-08-19,133,2,6999.78,Male,64,4,1,3,8,413,New Customers
CUST00221,Customer 221,Vellore,2025-10-18,438,1,2675.16,Female,57,1,1,1,3,111,Lost Customers
CUST00222,Customer 222,Tirunelveli,2026-07-07,176,4,12071.03,Female,47,3,3,5,11,335,Big Spenders
CUST00223,Customer 223,Salem,2026-02-05,328,6,24230.8,Other,55,2,5,5,12,255,At Risk
CUST00224,Customer 224,Salem,2025-07-27,521,3,9523.35,Male,23,1,2,4,7,124,Lost Customers
CUST00225,Customer 225,Bengaluru,2026-04-22,252,4,6842.37,Male,47,2,3,3,8,233,At Risk
CUST00226,Customer 226,Thanjavur,2026-07-10,173,3,5943.45,Other,42,3,2,3,8,323,Need Attention
CUST00227,Customer 227,Madurai,2026-03-17,288,3,5509.72,Female,38,2,2,3,7,223,Need Attention
CUST00228,Customer 228,Salem,2026-09-20,101,5,10068.11,Male,40,4,4,4,12,444,Champions
CUST00229,Customer 229,Pondicherry,2026-07-01,182,3,6095.05,Female,56,3,2,3,8,323,Need Attention
CUST00230,Customer 230,Vellore,2026-06-08,205,2,3419.67,Other,18,3,1,2,6,312,Need Attention
CUST00231,Customer 231,Pondicherry,2026-10-20,71,6,13584.939999999999,Male,33,5,5,5,15,555,Champions
CUST00232,Customer 232,Trichy,2026-05-06,238,6,7152.5199999999995,Female,53,3,5,3,11,353,Loyal Customers
CUST00233,Customer 233,Pondicherry,2026-08-20,132,3,4103.530000000001,Female,59,4,2,2,8,422,Potential Loyalists
CUST00234,Customer 234,Coimbatore,2026-10-31,60,5,10528.67,Female,19,5,4,4,13,544,Champions
CUST00235,Customer 235,Pondicherry,2026-08-16,136,4,7298.43,Male,43,4,3,3,10,433,Potential Loyalists
CUST00236,Customer 236,Bengaluru,2025-10-26,430,5,8027.2699999999995,Female,60,1,4,4,9,144,At Risk
CUST00237,Customer 237,Vellore,2026-10-22,69,4,5235.799999999999,Female,53,5,3,2,10,532,Potential Loyalists
CUST00238,Customer 238,Vellore,2025-07-21,527,2,4570.25,Female,65,1,1,2,4,112,Lost Customers
CUST00239,Customer 239,Erode,2026-11-11,49,6,10693.58,Female,62,5,5,4,14,554,Champions
CUST00240,Customer 240,Trichy,2026-07-01,182,5,5020.27,Female,34,3,4,2,9,342,Loyal Customers
CUST00241,Customer 241,Thanjavur,2026-08-11,141,3,6468.23,Other,30,4,2,3,9,423,Potential Loyalists
CUST00242,Customer 242,Pondicherry,2026-08-09,143,4,14397.04,Other,52,4,3,5,12,435,Big Spenders
CUST00243,Customer 243,Pondicherry,2026-07-15,168,5,11524.45,Male,31,3,4,5,12,345,Loyal Customers
CUST00245,Customer 245,Salem,2026-06-09,204,4,13965.86,Other,56,3,3,5,11,335,Big Spenders
CUST00246,Customer 246,Trichy,2026-03-16,289,2,2860.8999999999996,Male,36,2,1,1,4,211,Need Attention
CUST00247,Customer 247,Chennai,2026-01-27,337,3,4737.93,Male,37,2,2,2,6,222,Need Attention
CUST00248,Customer 248,Salem,2026-03-01,304,2,8413.32,Other,26,2,1,4,7,214,Need Attention
CUST00249,Customer 249,Salem,2025-12-24,371,2,4025.4300000000003,Male,53,2,1,2,5,212,Need Attention
CUST00250,Customer 250,Erode,2025-11-09,416,1,4364.97,Male,58,1,1,2,4,112,Lost Customers
CUST00251,Customer 251,Salem,2026-08-23,129,3,3705.6099999999997,Male,54,4,2,2,8,422,Potential Loyalists
CUST00252,Customer 252,Thanjavur,2026-05-25,219,5,17309.76,Female,46,3,4,5,12,345,Loyal Customers
CUST00253,Customer 253,Erode,2025-05-08,601,4,6062.17,Male,34,1,3,3,7,133,At Risk
CUST00254,Customer 254,Erode,2025-06-04,574,3,5384.799999999999,Male,43,1,2,2,5,122,Lost Customers
CUST00255,Customer 255,Hyderabad,2026-05-21,223,2,3995.7200000000003,Other,58,3,1,2,6,312,Need Attention
CUST00256,Customer 256,Bengaluru,2026-08-06,146,3,3496.12,Male,27,4,2,2,8,422,Potential Loyalists
CUST00257,Customer 257,Coimbatore,2025-07-08,540,2,1088.79,Male,33,1,1,1,3,111,Lost Customers
CUST00258,Customer 258,Bengaluru,2026-01-23,341,6,15460.630000000001,Female,56,2,5,5,12,255,At Risk
CUST00259,Customer 259,Vellore,2026-09-13,108,3,5672.49,Other,32,4,2,3,9,423,Potential Loyalists
CUST00260,Customer 260,Salem,2026-07-30,153,3,4709.81,Female,46,4,2,2,8,422,Potential Loyalists
CUST00262,Customer 262,Bengaluru,2026-08-06,146,5,8786.31,Other,21,4,4,4,12,444,Champions
CUST00263,Customer 263,Hyderabad,2026-09-04,117,6,15677.36,Male,31,4,5,5,14,455,Champions
CUST00264,Customer 264,Coimbatore,2025-12-05,390,3,6259.76,Female,60,1,2,3,6,123,Lost Customers
CUST00265,Customer 265,Vellore,2026-08-01,151,5,21223.11,Male,29,4,4,5,13,445,Champions
